Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integral/0.0/3.14,457,0,4200.0,5759.712986218835,3346.477949999098,49104.56505699949,148.0,2.5495849212432513,0.0,4200,4500,4600,4700,5100,5900,48000,49000,49000,49000,49000
,Aggregated,457,0,4200.0,5759.712986218835,3346.477949999098,49104.56505699949,148.0,2.5495849212432513,0.0,4200,4500,4600,4700,5100,5900,48000,49000,49000,49000,49000
