Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integral/0.0/3.14,5623,0,470.0,472.2785957577792,39.051441999617964,920.582423000269,128.0,31.346395762465512,0.0,470,500,530,540,590,630,690,730,850,920,920
,Aggregated,5623,0,470.0,472.2785957577792,39.051441999617964,920.582423000269,128.0,31.346395762465512,0.0,470,500,530,540,590,630,690,730,850,920,920
