Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//api/0.0/3.14,17270,0,140.0,153.73869137042155,55.54528399989067,1517.8271039985702,140.0,96.25900697268214,0.0,140,170,180,190,220,250,310,380,540,1400,1500
,Aggregated,17270,0,140.0,153.73869137042155,55.54528399989067,1517.8271039985702,140.0,96.25900697268214,0.0,140,170,180,190,220,250,310,380,540,1400,1500
